codigo,nome,cidade,bairro,endereco,incorporadora,unidades,data_entrega,status,perfil,padrao,fonte,confianca,prioridade,landing_slug,observacoes
CPS009,Legacy Paineiras,Campinas,Nova Campinas,,Cyrela/Prado Gonçalves,98,2025-06,confirmado_entregue,vertical,alto,Prado Gonçalves site,alta,A,legacy-paineiras,Torre única 98 unidades 105-125m2 entrega jun25 dentro da janela
CPS010,Orion Norte Sul,Campinas,,R Nuporanga,Patriani,,2025-12,em_obras,vertical,alto,Patriani + Campinas na Planta,alta,A,orion-norte-sul,Entrega dez25 aptos 81-98m2 hobby room 2-3 suítes janela quente
CPS011,Living Cyrela Cambuí,Campinas,Cambuí,,Cyrela/Living,,2025-12,em_obras,vertical,alto,Cyrela site,alta,A,living-cyrela-cambui,Entrega dez25 porte-cochère alto padrão janela quente
VLH001,Bella Vita Valinhos,Valinhos,Vila Olivo,Av Independência,,,2025-07,em_obras,vertical,medio_alto,Seina Imóveis,media,A,bella-vita-valinhos,Entrega jul25 2-3 dorm 1 suíte janela quente borderline
CPS052,MRV Cidade Sete Sóis Dunlop,Campinas,Campo Grande,Av John Boyd Dunlop,MRV,,2026-05,em_obras,vertical,MCMV,MRV site + imoveistco,alta,A,mrv-cidade-sete-sois-dunlop,MCMV grande volume entrega mai26 dentro da janela cores do poente+ilha+colina
CPS008,Sirius Patriani,Campinas,Centro,Avenida Aquidaban 130,Patriani,,2025-05,confirmado_entregue,vertical,alto,Patriani site + Colombos,alta,B,sirius-patriani,43 andares studios 46m2 entrega mai25 borderline 1S25 fora janela mas mercado quente pra investidor/inquilino
CPS022,Reserva Prado,Campinas,Parque Prado,,Patriani,,2026-12,em_obras,vertical,alto,Patriani + Patriarca,alta,B,reserva-prado,Aptos 124-148m2 3 suítes entrega dez26 pré-janela ativar mídia mar-abr26
CPS041,Reserva Bosque Jequitibás,Campinas,Bosque,Rua Luzitana 59,,,,confirmado_entregue,vertical,medio,Campinas na Planta,media,B,reserva-bosque-jequitibas,Pronto morar 2-3 dorm 64-85m2 confirmar data Habite-se via LAI
CPS042,Vita Parque,Campinas,Parque Industrial,,Living,,,confirmado_entregue,vertical,medio,QuintoAndar + Provectum,media,B,vita-parque,Pronto morar 2-3 dorm 54-66m2 100% vendido confirmar data Habite-se
CPS043,Essence Residencial,Campinas,Jardim Aurélia,,,,,confirmado_entregue,vertical,medio,Campinas na Planta,media,B,essence-aurelia,Pronto morar 2-3 dorm suíte varanda confirmar data Habite-se
